id,domain,skill,archetype,level,difficulty,answer_coder,answer_independent,answer_match,solve_note,status,struct_issues,quality_issues,guideline_issues,question_preview
NEW_LOG_001,logical_reasoning,2.1,linear_order,Explore,easy,D,N/A,N/A,Checked structurally,PASS,,,,"Four children queue for ice cream: Ali, Mei, Raj, Siti in that order. Who is jus"
NEW_LOG_002,logical_reasoning,2.1,linear_order,Explore,easy,D,N/A,N/A,Checked structurally,PASS,,,,"Tom finished 1st in a race, Aisha finished 2nd, and Ben finished 3rd. Who finish"
NEW_LOG_003,logical_reasoning,2.1,linear_order,Explore,easy,A,N/A,N/A,Checked structurally,PASS,,,,Kim lives above Lee. Lee lives above Tan. Who lives in the middle floor?
NEW_LOG_004,logical_reasoning,2.1,linear_order,Explore,easy,D,N/A,N/A,Checked structurally,PASS,,,,Book A sits on top of Book B. Book B sits on top of Book C. Which book is at the
NEW_LOG_005,logical_reasoning,2.1,linear_order,Explore,easy,D,N/A,N/A,Checked structurally,PASS,,,,"Sara, Devi, Ming and Raj stand in a queue in that order. Who is third in the que"
NEW_LOG_006,logical_reasoning,2.1,linear_order,Explore,easy,D,N/A,N/A,Checked structurally,PASS,,,,The red car is ahead of the blue car. The blue car is ahead of the green car. Wh
NEW_LOG_007,logical_reasoning,2.1,linear_order,Explore,easy,D,N/A,N/A,Checked structurally,PASS,,,,Grandpa is the oldest in the family. Father is younger than Grandpa but older th
NEW_LOG_008,logical_reasoning,2.1,linear_order,Explore,easy,A,N/A,N/A,Checked structurally,PASS,,,,A is taller than B. B is taller than C. C is taller than D. Who is the second ta
NEW_LOG_009,logical_reasoning,2.1,linear_order,Think,medium,A,N/A,N/A,Checked structurally,PASS,,,,"Five children queue up. Lin is 4th. Two children stand between Lin and Kumar, an"
NEW_LOG_010,logical_reasoning,2.1,linear_order,Think,medium,D,N/A,N/A,Checked structurally,PASS,,,,"In a bus queue, Chen is just behind Bala. Bala is just behind Devi. Devi is firs"
NEW_LOG_011,logical_reasoning,2.1,linear_order,Think,medium,D,N/A,N/A,Checked structurally,PASS,,,,Five runners race. Devi beats Ming. Raj beats Devi. Siti beats Raj. Kumar beats 
NEW_LOG_012,logical_reasoning,2.1,linear_order,Think,medium,D,N/A,N/A,Checked structurally,PASS,,,,"In a 4-storey flat, Goh lives above Tan. Tan lives above Lim. Koh lives below Li"
NEW_LOG_013,logical_reasoning,2.1,linear_order,Think,medium,A,N/A,N/A,Checked structurally,PASS,,,,Priya is 4th from the front of a queue and 3rd from the back. How many people ar
NEW_LOG_014,logical_reasoning,2.1,linear_order,Think,medium,D,N/A,N/A,Checked structurally,PASS,,,,Four chairs in a row: A sits left of B. B sits left of C. D sits right of C. Who
NEW_LOG_015,logical_reasoning,2.1,linear_order,Think,medium,A,N/A,N/A,Checked structurally,PASS,,,,Rina runs faster than Siti but slower than Mei. Who is the slowest runner?
NEW_LOG_016,logical_reasoning,2.1,linear_order,Think,medium,D,N/A,N/A,Checked structurally,PASS,,,,A tower of blocks: the red block is above the blue block. The blue block is abov
NEW_LOG_017,logical_reasoning,2.1,linear_order,Think,medium,D,N/A,N/A,Checked structurally,PASS,,,,"Three lockers in a row belong to Asha, Bala and Devi. Asha's locker is between t"
NEW_LOG_018,logical_reasoning,2.1,linear_order,Think,medium,A,N/A,N/A,Checked structurally,PASS,,,,Three swimmers race. X touches the wall before Y. Y touches before Z. If gold go
NEW_LOG_019,logical_reasoning,2.1,linear_order,Think,medium,D,N/A,N/A,Checked structurally,PASS,,,,L is older than M. N is younger than M. O is older than L. Who is the youngest?
NEW_LOG_020,logical_reasoning,2.1,linear_order,Think,medium,A,N/A,N/A,Checked structurally,PASS,,,,Ravi is 5th from the front of a queue and 3rd from the back. How many people are
NEW_LOG_021,logical_reasoning,2.1,linear_order,Challenge,hard,D,N/A,N/A,Checked structurally,PASS,,,,Four runners finish a race. A finished 2nd. B finished just behind A. C finished
NEW_LOG_022,logical_reasoning,2.1,linear_order,Challenge,hard,D,N/A,N/A,Checked structurally,PASS,,,,"A 5-storey block has one family per floor: Mei, Raj, Siti, Kumar and Devi. Mei l"
NEW_LOG_023,logical_reasoning,2.1,linear_order,Challenge,hard,D,N/A,N/A,Checked structurally,PASS,,,,"Five children Ann, Ben, Cara, Devi and Eve queue up. Ann is 2nd. Ben is two plac"
